eeincome1,erbmi,erhhch,erspemch,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eugroshp,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm
1,24.700001,1,5,50,0,-1,2,2,2,-1,1,2,2,1,3,1,2,3,-1,1,2,2
1,25.799999,3,5,45,0,-1,2,2,1,1,2,-1,-1,1,1,1,2,1,-1,1,2,2
2,38.400002,3,-1,60,0,-1,1,2,1,7,2,-1,-1,1,1,1,2,1,2,1,2,1
1,23.9,3,5,30,20,-1,1,1,1,4,1,1,2,1,1,-1,-1,2,2,1,1,-1
1,23.799999,3,5,35,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2
1,28.299999,3,5,210,60,-1,1,1,1,4,1,2,2,1,1,2,2,1,2,1,2,-1
2,27.6,3,-1,10,15,-1,1,1,2,-1,2,-1,-1,2,1,2,2,1,2,1,1,-1
1,25,3,5,45,0,2,1,2,2,-1,1,3,2,1,1,2,2,1,1,1,3,-1
2,19.5,3,5,60,0,-1,1,2,2,-1,1,1,2,1,1,1,2,1,2,1,4,2
2,30,3,5,30,10,2,1,1,1,2,1,3,1,1,1,1,2,1,1,1,3,2
1,26.4,3,3,50,2,-1,1,1,1,2,2,-1,-1,1,3,1,2,1,2,3,3,2
1,25.700001,3,5,60,0,-1,1,2,1,4,2,-1,-1,1,1,1,2,1,2,1,4,2
1,24.299999,3,-1,60,20,2,1,1,1,7,1,7,1,1,2,-1,-1,2,1,-1,-1,-1
2,29.5,3,-1,60,0,-1,1,2,1,3,1,3,1,2,1,1,2,1,2,1,2,2
1,27.799999,3,5,65,0,-1,1,2,1,6,1,1,1,1,1,1,2,1,2,1,2,2
1,29.6,3,5,130,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,3,-1,1,5,2
2,21.1,3,-1,22,5,2,1,1,1,3,1,2,1,1,2,-1,-1,2,1,-1,-1,-1
2,30.9,3,-1,140,10,-1,2,1,1,7,2,-1,-1,1,2,2,2,1,-1,-1,-1,-1
2,24.4,1,5,60,0,-1,2,2,1,3,2,-1,-1,2,1,-1,-1,2,-1,1,1,-1
1,35.299999,3,5,0,30,1,1,1,1,1,1,5,2,1,2,-1,-1,2,1,-1,-1,-1
1,38.400002,3,5,2,0,1,1,2,2,-1,1,4,1,1,2,-1,-1,2,1,-1,-1,-1
2,25.1,3,-1,60,0,-1,2,2,1,7,2,-1,-1,1,1,1,2,1,-1,1,3,2
1,22.9,2,-1,60,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,1,5,2
2,48.700001,3,-1,50,0,-1,1,2,1,7,1,2,2,2,1,1,2,1,2,3,4,1
2,25.700001,3,-1,0,30,-1,1,1,2,-1,2,-1,-1,1,1,2,2,1,2,1,1,-1
3,16.700001,3,-1,65,0,-1,2,2,2,-1,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,21.6,3,-1,50,1,-1,1,1,2,-1,1,1,2,1,1,1,2,1,2,1,2,2
2,24.9,3,-1,185,10,2,1,1,1,7,1,1,2,1,1,1,2,1,1,1,2,2
1,19.9,3,5,45,20,-1,1,1,1,7,2,-1,-1,1,1,1,2,1,2,1,3,2
2,43,3,5,108,6,-1,1,1,1,5,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,28.4,3,5,180,0,2,1,2,1,4,2,-1,-1,1,1,1,2,1,1,1,1,2
2,30.4,3,5,30,0,-1,2,2,1,7,2,-1,-1,2,2,2,2,1,-1,-1,-1,-1
1,33.299999,3,5,75,10,-1,1,1,2,-1,1,3,2,1,2,-1,-1,2,2,-1,-1,-1
1,23.1,3,-1,25,0,-1,2,2,1,6,1,2,1,2,2,-1,-1,2,-1,-1,-1,-1
1,19.799999,3,-1,220,0,-1,2,2,1,7,1,2,1,1,1,1,2,1,-1,1,3,2
1,20.799999,3,1,165,0,-1,1,2,1,7,2,-1,-1,1,1,1,2,3,2,1,3,2
1,30.4,3,3,100,0,-1,1,2,1,3,1,1,1,1,2,-1,-1,2,2,-1,-1,-1
1,33.700001,3,5,85,4,-1,2,1,1,3,1,1,2,1,3,-1,-1,2,-1,2,2,-1
1,30.1,3,-1,20,4,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
1,42.900002,3,-1,12,0,-1,2,2,1,1,1,2,1,1,1,1,2,1,-1,1,2,2
2,27.4,3,-1,60,0,-1,1,2,2,-1,2,-1,-1,1,1,2,2,1,2,2,6,-1
1,23.700001,3,5,60,5,-1,1,1,1,3,1,1,2,1,2,-1,-1,2,2,-1,-1,-1
2,26.6,3,5,45,10,-1,2,1,1,2,1,2,1,1,2,-1,-1,2,-1,-1,-1,-1
1,22.9,3,-1,120,0,-1,1,2,1,7,1,1,2,1,1,1,2,1,2,2,3,1
1,24.299999,1,5,60,5,-1,1,1,2,-1,1,1,2,1,2,-1,-1,2,2,-1,-1,-1
1,21,3,5,120,0,-1,2,2,2,-1,1,2,1,1,2,1,2,3,-1,-1,-1,2
1,30.200001,3,5,210,0,-1,2,2,2,-1,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
-2,26.6,3,-1,80,0,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,1,2
1,32.599998,3,5,155,60,-1,1,1,2,-1,1,1,2,1,1,-1,-1,2,2,1,2,-1
1,27.4,3,-1,45,30,-1,1,1,1,3,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,28.4,3,-1,30,30,1,1,1,1,7,1,7,1,1,1,1,2,1,1,1,2,2
2,28.299999,1,-1,30,5,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,3,1,2
2,25.200001,3,1,120,10,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,2,2
1,32.900002,2,-1,0,0,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,6,1
1,20.4,3,5,205,10,-1,1,1,1,4,1,3,1,1,1,1,2,1,2,3,3,2
1,34.299999,3,5,120,0,-1,2,2,2,-1,1,1,1,1,2,-1,-1,2,-1,-1,-1,-1
1,25.700001,1,5,80,15,-1,2,1,2,-1,1,3,1,1,1,2,2,1,-1,2,1,-1
1,25.1,3,5,80,10,2,1,1,1,1,1,4,2,1,3,-1,-1,2,1,1,1,-1
2,25.6,2,-1,30,30,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,2,2,2
1,23,3,5,140,5,-1,1,1,1,4,1,1,2,1,1,2,2,3,2,1,1,-1
1,30.299999,3,-1,30,3,-1,1,1,1,1,1,3,2,1,2,1,2,1,2,-1,-1,2
2,29.4,3,-1,20,0,-1,1,2,1,1,1,7,1,1,2,-1,-1,2,2,-1,-1,-1
1,31,3,5,120,0,-1,2,2,1,2,1,3,2,1,2,-1,-1,2,-1,-1,-1,-1
1,25.9,3,5,87,5,-1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,3,2
1,20.6,3,5,140,5,-1,2,1,1,4,2,-1,-1,1,1,1,2,1,-1,1,2,2
1,33.299999,3,-1,20,20,-1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,6,2
2,24.6,3,-1,135,0,-1,2,2,2,-1,2,-1,-1,1,2,2,2,1,-1,-1,-1,-1
1,36.900002,3,-1,45,5,-1,2,1,1,7,2,-1,-1,1,1,1,2,1,-1,1,1,2
2,-1,3,5,45,75,2,1,1,1,3,1,1,2,1,3,1,2,3,1,1,2,2
1,21.9,3,5,130,0,-1,1,2,1,5,2,-1,-1,1,1,1,2,1,2,1,2,2
2,-1,1,-1,25,0,-1,2,2,1,5,2,-1,-1,1,1,-1,-1,2,-1,2,2,-1
1,21.9,3,-1,70,10,1,1,1,1,3,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
2,35.099998,1,5,75,15,2,1,1,2,-1,1,2,2,1,1,1,2,1,1,1,-2,2
1,29.700001,3,-1,135,20,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,3,2
1,33.099998,3,5,150,5,1,1,1,1,4,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
1,44.5,3,-1,65,30,-1,1,1,1,7,1,1,2,1,1,1,2,1,2,1,5,2
2,28.200001,1,5,85,0,-1,1,2,2,-1,2,-1,-1,2,2,-1,-1,2,2,-1,-1,-1
2,19.4,1,-1,25,15,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,5,2,2
1,26.6,3,1,90,30,-1,1,1,1,3,1,5,1,1,1,1,2,1,2,1,6,1
1,37.700001,3,-1,155,0,2,1,2,2,-1,1,15,2,1,1,1,2,1,1,1,1,2
2,19.299999,3,-1,130,0,-1,1,2,2,-1,2,-1,-1,1,1,2,2,1,2,1,3,-1
2,24.5,3,-1,25,10,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,1,4,2
1,29,3,5,90,0,-1,2,2,1,3,1,5,1,1,2,-1,-1,2,-1,-1,-1,-1
1,39.200001,3,5,95,55,1,1,1,1,3,1,2,2,1,2,-1,-1,2,1,-1,-1,-1
1,28.9,3,5,300,0,-1,1,2,1,4,1,1,2,1,1,1,2,1,2,2,4,2
1,30.9,3,5,105,0,-1,1,2,1,2,1,3,2,1,1,1,2,1,2,1,2,2
2,37.400002,3,2,60,0,3,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
1,27.4,1,-1,80,0,1,1,2,1,5,1,1,2,1,1,1,2,1,1,1,2,2
1,29.200001,3,-1,0,75,-1,1,1,2,-1,1,5,1,1,1,1,2,1,2,2,2,2
1,33.400002,3,5,60,0,-1,2,2,2,-1,2,-1,-1,1,1,-1,-1,2,-1,1,1,-1
1,18.6,3,-1,20,10,2,1,1,1,2,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
2,22.299999,3,5,75,0,-1,2,2,1,4,2,-1,-1,1,1,1,2,1,-1,2,1,2
2,-1,3,5,105,45,-1,2,1,1,1,1,4,1,1,3,2,2,3,-1,1,6,-1
1,39.799999,3,-1,30,22,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,2,2
1,26.6,3,-1,15,30,2,1,1,1,3,2,-1,-1,1,1,1,2,1,1,1,2,2
1,21.6,3,5,80,5,-1,1,1,2,-1,1,1,2,1,1,1,2,1,2,1,2,2
1,22.5,3,5,15,10,-1,2,1,1,16,2,-1,-1,1,1,-1,-1,2,-1,2,2,-1
1,26.6,3,-1,30,0,-1,1,2,1,3,1,5,2,1,1,1,2,1,2,1,1,2
1,34.599998,3,5,25,6,-1,2,1,1,6,1,5,2,1,2,-1,-1,2,-1,-1,-1,-1
1,19.6,3,-1,30,0,-1,1,2,1,2,2,-1,-1,1,1,1,2,1,2,1,2,2
1,22.5,3,5,90,10,2,1,1,2,-1,1,1,2,1,1,1,2,1,1,1,2,2
3,35.5,3,-1,60,0,-1,1,2,2,-1,2,-1,-1,1,1,2,2,1,2,1,2,-1
2,28,1,5,90,0,-1,2,2,2,-1,1,2,2,1,2,-1,-1,2,-1,-1,-1,-1
1,29.299999,3,-1,60,2,-1,2,1,1,21,2,-1,-1,3,2,-1,-1,2,-1,-1,-1,-1
1,21.6,3,5,120,180,-1,2,1,1,2,1,3,1,1,1,1,2,1,-1,1,3,2
1,28.799999,3,-1,100,0,-1,1,2,1,4,1,1,2,1,1,1,2,1,2,2,2,2
1,31.299999,3,5,5,0,1,1,2,2,-1,2,-1,-1,2,3,-1,-1,2,1,1,1,-1
1,21.5,3,5,120,0,-1,1,2,1,4,1,2,2,1,3,1,2,1,2,1,2,2
1,26.1,3,5,240,8,2,1,1,1,2,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
2,21.5,1,-1,25,20,2,1,1,2,-1,1,6,1,1,1,1,2,1,1,2,4,2
2,23,3,-1,35,10,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,4,2
2,29.6,3,-1,35,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
1,24.4,3,-1,30,30,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,2,2
2,36.299999,3,-1,90,0,-1,2,2,1,2,1,2,1,1,1,1,2,1,-1,5,3,2
-2,23,3,-1,60,0,-1,1,2,1,7,2,-1,-1,1,1,1,2,1,2,1,3,2
1,34.400002,1,-1,120,0,-1,2,2,1,3,1,7,2,1,2,-1,-1,2,-1,-1,-1,-1
1,35,1,3,35,0,2,1,2,2,-1,1,7,1,1,2,-1,-1,2,1,-1,-1,-1
1,23.1,1,-1,50,0,-1,1,2,1,3,1,7,1,1,1,-1,-1,2,2,1,2,-1
2,31.200001,3,-1,25,0,2,1,2,-2,-1,1,1,2,1,1,1,2,1,1,1,2,2
2,-1,3,4,55,-2,2,1,-2,2,-1,1,2,2,1,3,-1,-1,2,1,3,1,-1
2,32.299999,3,-1,90,15,1,1,1,2,-1,2,-1,-1,1,1,1,2,1,1,1,3,2
2,29.299999,1,-1,50,0,2,1,2,1,3,1,2,1,1,1,1,2,1,1,1,4,2
2,20.5,3,-1,90,0,-1,1,2,1,5,2,-1,-1,1,1,1,2,1,2,1,2,2
1,21.9,3,5,45,1,-1,1,1,1,5,1,3,1,1,1,1,2,1,2,1,1,2
1,34.400002,3,-1,98,6,-1,2,1,1,2,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
2,21.799999,3,5,58,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,6,2
1,21.9,2,-1,75,10,-1,2,1,1,2,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,25.6,3,-1,25,40,-1,1,1,2,-1,1,1,2,1,1,1,2,1,2,1,1,2
2,26.6,2,4,155,35,-1,2,1,1,3,1,1,1,1,1,1,2,1,-1,1,1,2
1,22.4,3,1,170,0,-1,1,2,1,5,2,-1,-1,1,3,2,2,3,2,3,1,-1
2,24.299999,3,1,45,15,-1,2,1,1,2,2,-1,-1,1,1,1,2,1,-1,2,3,2
2,26.6,3,5,0,0,-1,2,2,2,-1,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,21,3,5,20,0,-1,1,2,1,3,2,-1,-1,3,3,1,2,1,2,1,2,1
2,31,3,-1,200,0,2,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,2
2,33.299999,1,-1,90,5,-1,2,1,2,-1,1,1,2,1,2,1,2,1,-1,-1,-1,2
1,-1,3,5,90,10,-1,2,1,1,7,2,-1,-1,1,1,1,2,1,-1,1,1,2
2,28.299999,3,-1,75,10,2,1,1,1,3,1,7,1,1,1,1,2,1,1,1,6,2
1,28.299999,3,-1,45,20,-1,1,1,2,-1,1,4,2,1,1,1,2,1,2,1,5,2
1,21.700001,3,-1,40,15,-1,1,1,1,5,1,12,2,1,1,1,2,1,2,1,2,2
1,39.099998,3,5,30,20,-1,1,1,1,4,1,2,1,1,3,1,2,1,2,2,1,2
3,22.200001,3,5,150,30,-1,1,1,1,4,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,34.900002,1,-1,120,10,-1,2,1,1,4,2,-1,-1,1,3,1,2,3,-1,1,2,1
3,39.099998,3,-1,35,0,-1,2,2,1,3,1,1,1,1,2,-1,-1,2,-1,-1,-1,-1
2,24.9,3,2,55,0,-1,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
2,26.6,1,5,20,5,-1,2,1,1,5,1,2,1,2,2,-1,-1,2,-1,-1,-1,-1
1,33.599998,3,-1,150,0,-1,1,2,1,14,2,-1,-1,1,2,1,2,1,2,-1,-1,2
3,23.4,3,5,75,5,-1,2,1,2,-1,2,-1,-1,2,1,1,2,1,-1,5,3,2
1,34.299999,3,5,180,10,-1,2,1,1,7,1,1,2,1,2,-1,-1,2,-1,-1,-1,-1
1,28.9,3,5,150,0,-1,2,2,2,-1,1,1,2,1,3,1,2,3,-1,3,3,2
1,25.1,3,5,45,10,-1,1,1,2,-1,1,5,2,1,1,1,2,1,2,1,2,2
1,35.400002,3,-1,20,15,-1,1,1,1,2,1,5,1,1,1,1,2,1,2,1,1,2
3,24,3,-1,50,0,-1,1,2,2,-1,1,2,1,1,3,2,2,3,2,1,3,-1
1,30.6,3,-1,50,0,-1,2,2,1,5,1,1,1,1,1,2,2,1,-1,1,2,-1
2,23.9,3,-1,15,40,-1,1,1,1,7,1,1,1,1,1,1,2,1,2,1,3,2
2,25.799999,3,5,60,0,2,1,2,1,7,1,5,1,1,1,1,1,1,1,5,4,2
1,22,1,5,60,15,-1,2,1,1,7,1,1,2,1,3,-1,-1,2,-1,2,1,-1
1,18.200001,3,5,180,0,-1,1,2,2,-1,2,-1,-1,1,1,2,2,3,2,1,3,-1
1,36.900002,3,-1,0,7,1,1,1,1,1,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
1,24.200001,3,5,30,5,1,1,1,2,-1,1,4,1,1,2,-1,-1,2,1,-1,-1,-1
2,23.9,3,-1,150,0,2,1,2,1,7,1,1,1,1,1,1,2,1,1,1,3,2
1,-1,3,5,83,15,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,1,3,2
1,22.200001,3,-1,55,70,-1,2,1,1,3,1,3,1,1,1,2,2,1,-1,1,1,-1
1,25.799999,3,-1,90,15,1,1,1,1,3,2,-1,-1,1,1,1,2,1,1,1,1,2
2,23.799999,3,-1,105,10,-1,1,1,2,-1,1,2,2,2,1,1,2,1,2,1,2,2
1,22.5,3,-1,180,7,2,1,1,1,3,1,3,1,1,1,1,2,1,1,1,4,2
1,31.6,3,-1,85,60,-1,1,1,1,1,2,-1,-1,1,1,1,2,1,2,1,3,2
1,22.5,3,3,30,0,-1,1,2,2,-1,1,2,2,1,1,1,2,1,2,1,2,2
2,47,3,-1,0,15,-1,1,1,2,-1,1,2,2,1,1,1,2,1,2,1,4,2
3,34.700001,3,4,40,5,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,2,1,2
1,32.5,3,5,30,1,-1,1,1,1,5,1,3,2,1,3,1,2,3,2,2,1,1
1,29.5,3,5,120,0,-1,1,2,2,-1,1,2,1,1,1,1,2,1,2,1,1,2
-3,36.299999,3,5,30,0,-1,2,2,1,3,1,3,1,1,2,-1,-1,2,-1,-1,-1,-1
1,25,3,5,75,0,-1,1,2,2,-1,1,2,2,1,1,1,2,1,2,2,1,2
1,22.5,3,-1,20,15,2,1,1,1,7,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
1,18.200001,3,5,0,35,-1,2,1,1,1,2,-1,-1,1,1,1,2,1,-1,1,4,2
1,28.299999,3,-1,60,0,2,1,2,2,-1,1,1,1,1,1,1,2,1,1,1,1,2
1,23.4,3,-1,90,30,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,6,-1
1,27,3,5,65,15,1,1,1,2,-1,1,4,1,1,1,1,2,1,1,1,5,2
-2,19.4,3,-1,65,0,-1,2,2,1,3,2,-1,-1,1,2,1,2,3,-1,-1,-1,2
1,26.6,3,5,90,0,-1,2,2,2,-1,1,3,2,1,3,1,2,3,-1,1,1,2
2,25.1,3,-1,65,0,-1,1,2,1,2,2,-1,-1,1,1,1,2,1,2,1,2,2
1,18.799999,3,-1,0,50,-1,1,1,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,28.4,3,-1,50,10,-1,2,1,1,4,1,3,1,1,1,1,2,1,-1,1,1,2
1,27.299999,3,-1,85,5,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,2,1,2
1,25.1,3,5,0,20,-1,2,1,1,3,2,-1,-1,1,3,1,2,3,-1,1,6,1
1,30,3,5,93,30,1,1,1,1,2,1,2,2,1,3,1,2,1,1,1,2,2
1,28.700001,3,5,135,15,-1,1,1,1,1,1,2,2,1,3,1,2,3,2,5,3,2
1,28.200001,3,5,85,2,2,1,1,2,-1,1,3,1,1,3,1,2,1,1,2,2,2
2,33.200001,3,5,5,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,4,2
2,18.1,3,-1,50,0,-1,1,2,1,7,2,-1,-1,1,1,1,2,1,2,1,2,2
1,23,3,-1,15,30,2,1,1,1,2,1,3,1,3,2,-1,-1,2,1,-1,-1,-1
1,27.700001,3,5,105,0,-1,2,2,1,4,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
3,30.9,3,-1,70,1,-1,2,1,2,-1,1,2,1,1,1,1,2,1,-1,1,2,2
2,23.700001,3,-1,120,5,-1,2,1,1,4,2,-1,-1,1,1,1,2,1,-1,1,4,1
1,27.4,3,1,30,206,2,1,1,1,3,1,3,1,1,3,1,2,3,1,2,1,2
3,23.799999,3,-1,10,13,-1,2,1,1,2,1,4,2,1,2,-1,-1,2,-1,-1,-1,-1
1,24.4,3,-1,40,7,-1,1,1,2,-1,1,3,2,1,1,1,2,1,2,1,2,2
1,27.299999,3,5,15,0,-1,2,2,1,4,1,4,2,1,1,1,1,1,-1,1,3,2
1,27.299999,3,5,65,5,2,1,1,1,2,1,11,1,1,2,-1,-1,2,1,-1,-1,-1
3,23.700001,3,-1,2,0,-1,2,2,1,6,2,-1,-1,1,3,1,2,3,-1,1,2,2
1,19.700001,3,-1,45,10,-1,1,1,1,7,2,-1,-1,1,1,1,2,1,2,1,2,2
1,23,3,-1,45,15,-1,1,1,1,7,2,-1,-1,1,1,1,2,1,2,1,3,2
1,16.4,3,5,30,0,-1,2,2,1,7,1,3,1,1,2,-1,-1,2,-1,-1,-1,-1
1,47.400002,3,-1,85,10,-1,2,1,1,2,1,3,1,1,1,1,2,1,-1,1,2,2
2,29.799999,3,5,110,0,-1,1,2,1,3,2,-1,-1,2,3,1,2,3,2,2,2,2
1,50.099998,3,-1,120,15,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,2,4,2
2,27.5,3,5,35,0,2,1,2,2,-1,1,1,1,1,3,-1,-1,2,1,2,1,-1
2,30,3,-1,0,0,-1,2,2,1,3,2,-1,-1,2,1,1,2,1,-1,1,2,2
1,29.700001,3,5,45,0,-1,2,2,1,2,1,1,2,1,3,1,2,3,-1,1,5,2
1,25.1,3,5,60,5,-1,1,1,1,4,1,2,2,1,3,-1,-1,2,2,1,2,-1
1,25.1,1,-1,90,5,-1,1,1,1,6,2,-1,-1,1,1,1,2,1,2,1,2,2
1,25.799999,3,-1,160,10,-1,2,1,1,3,2,-1,-1,2,2,-1,-1,2,-1,-1,-1,-1
2,27.4,3,-1,51,115,1,1,1,1,1,2,-1,-1,1,3,-1,-1,2,1,2,1,-1
1,25.6,3,5,120,1,1,1,1,1,3,2,-1,-1,1,1,1,2,1,1,1,2,1
1,23,3,-1,30,0,2,1,2,1,3,1,2,2,1,1,1,2,1,1,1,2,2
2,21,3,-1,245,0,1,1,2,1,5,2,-1,-1,2,1,1,2,1,1,1,2,2
2,17.4,3,4,60,2,-1,2,1,2,-1,1,1,2,2,2,2,2,1,-1,-1,-1,-1
3,28.799999,3,5,90,0,-1,1,2,2,-1,1,1,1,1,2,-1,-1,2,2,-1,-1,-1
1,35.5,3,-1,125,0,-1,2,2,2,-1,1,7,2,1,2,2,2,3,-1,-1,-1,-1
1,28.700001,2,-1,60,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
2,29.799999,3,-1,35,15,-1,1,1,1,4,1,2,2,1,1,1,2,1,2,1,1,2
2,-1,3,-1,30,20,-1,1,1,1,2,2,-1,-1,2,1,1,2,1,2,1,4,2
2,21.5,3,-1,85,0,-1,2,2,2,-1,1,1,1,2,1,1,2,1,-1,1,1,1
2,25.200001,3,-1,12,63,-1,2,1,1,2,2,-1,-1,1,2,1,2,1,-1,-1,-1,2
1,32.299999,3,5,150,0,-1,2,2,1,4,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
2,23.200001,3,5,30,0,-1,2,2,1,7,2,-1,-1,1,3,-2,2,1,-1,1,5,-1
3,35.400002,3,5,105,0,1,1,2,1,3,2,-1,-1,1,1,1,2,1,1,2,1,2
1,24.4,1,-1,30,15,2,1,1,2,-1,1,4,1,1,1,1,2,1,1,2,2,2
1,25.799999,3,-1,45,0,-1,2,2,1,3,2,-1,-1,1,1,1,2,1,-1,1,2,1
2,24.799999,3,-1,0,5,-1,2,1,1,4,2,-1,-1,1,2,2,2,1,-1,-1,-1,-1
1,23.700001,3,5,50,10,-1,1,1,1,3,1,10,1,1,2,-1,-1,2,2,-1,-1,-1
2,24.700001,2,5,35,0,-1,1,2,1,4,1,2,2,1,1,1,2,3,2,1,3,1
1,21.799999,3,3,45,10,-1,1,1,2,-1,1,4,2,1,1,1,1,1,2,1,6,2
1,29.6,3,5,60,0,-1,2,2,1,3,2,-1,-1,1,2,1,2,1,-1,-1,-1,2
2,23.1,1,5,30,15,2,1,1,1,2,1,2,2,1,3,1,2,3,1,1,1,2
1,23.700001,3,-1,20,10,-1,1,1,1,1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,28,3,5,35,5,-1,1,1,1,5,1,1,2,1,1,1,2,1,2,2,1,1
1,26.4,3,-1,75,8,-1,2,1,1,3,1,1,2,1,1,1,2,1,-1,1,2,2
3,-1,3,5,120,30,2,1,1,2,-1,1,5,2,2,1,1,2,1,1,2,1,2
2,29.5,3,-1,140,0,-1,2,2,1,1,1,1,1,1,1,1,2,1,-1,2,2,1
1,25.799999,3,5,135,15,-1,2,1,1,3,2,-1,-1,1,3,-1,-1,2,-1,1,1,-1
1,30.9,3,5,25,70,-1,2,1,2,-1,1,2,2,1,1,-1,-1,2,-1,1,3,-1
1,18.9,3,-1,60,5,-1,2,1,1,10,1,1,2,1,1,1,2,1,-1,1,2,2
1,23.4,2,5,0,30,-1,2,1,1,3,1,2,1,1,2,1,2,3,-1,-1,-1,2
2,24.700001,3,-1,10,0,-1,1,2,1,35,1,1,2,1,1,1,2,1,2,2,2,1
1,21,3,-1,15,0,-1,1,2,2,-1,1,1,1,1,1,1,2,1,2,5,1,2
1,43.599998,3,5,120,0,-1,1,2,2,-1,1,3,2,1,2,-1,-1,2,2,-1,-1,-1
2,44.299999,3,-1,75,30,1,1,1,1,2,2,-1,-1,1,3,1,2,3,1,-2,-1,2
1,29.200001,3,-1,75,0,2,1,2,1,3,2,-1,-1,1,1,1,2,1,1,1,2,2
1,25.799999,3,5,90,5,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,3,2
2,30.9,3,5,60,110,-1,1,1,2,-1,1,6,1,2,3,1,2,3,2,2,3,2
1,27.4,3,5,135,15,-1,1,1,1,5,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,27.5,3,-1,65,5,-1,1,1,1,1,1,4,1,1,1,1,2,1,2,1,2,2
2,24.6,3,5,100,10,2,1,1,1,2,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
2,19.200001,3,-1,195,5,-1,1,1,2,-1,-2,-1,-1,1,2,1,2,1,2,-1,-1,2
1,33.200001,3,5,50,0,2,1,2,1,3,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
1,20.4,3,-1,120,10,2,1,1,1,5,1,3,2,1,1,1,2,1,1,1,2,2
1,26.5,3,5,90,70,-1,1,1,1,5,1,3,1,1,2,-1,-1,2,2,-1,-1,-1
1,28.200001,3,3,25,20,1,1,1,1,6,1,3,2,1,2,1,2,1,1,-1,-1,2
1,23.5,3,5,75,40,2,1,1,2,-1,1,4,1,1,1,1,2,1,1,1,2,1
1,58.599998,3,5,89,27,2,1,1,2,-1,2,-1,-1,1,1,1,2,1,1,2,1,1
1,22.9,3,-1,130,0,-1,1,1,1,7,1,7,2,1,1,1,2,1,2,3,1,1
1,34.200001,3,5,50,15,1,1,1,2,-1,2,-1,-1,1,3,-1,-1,2,1,1,1,-1
